year,sst_mean
2002,29.752242096345515
2003,27.91120296680498
2004,28.57062464642857
2005,29.81207124610592
2006,29.54309395454545
2007,28.647590409240927
2008,28.55082004024768
2009,28.954205558823528
2010,29.88562727272727
2011,29.15136946917808
2012,29.75881552631579
2013,29.31780830677291
2014,29.713344480836238
2015,29.601943961805553
2016,30.205313028213165
2017,29.662442964401293
2018,29.688255279069768
2019,28.345753220289854
2020,29.73764935962145
2021,29.146461858490564
2022,29.032761528571427
2023,29.38575116993464
2024,29.830184888888887
