year,sst_article_fit_degC,sst_december_fit_degC,diff_december_minus_article_degC
2002,28.6374,29.0499,0.4125
2003,28.6876,29.0739,0.3863
2004,28.7378,29.0979,0.3601
2005,28.788,29.122,0.334
2006,28.8382,29.146,0.3078
2007,28.8884,29.17,0.2816
2008,28.9386,29.1941,0.2555
2009,28.9888,29.2181,0.2293
2010,29.039,29.2421,0.2031
2011,29.0892,29.2662,0.177
2012,29.1394,29.2902,0.1508
2013,29.1896,29.3142,0.1246
2014,29.2398,29.3383,0.0985
2015,29.29,29.3623,0.0723
2016,29.3402,29.3863,0.0461
2017,29.3904,29.4104,0.02
2018,29.4406,29.4344,-0.0062
2019,29.4908,29.4584,-0.0324
2020,29.541,29.4825,-0.0585
2021,29.5912,29.5065,-0.0847
2022,29.6414,29.5306,-0.1108
2023,29.6916,29.5546,-0.137
2024,29.7418,29.5786,-0.1632
2025,29.792,29.6027,-0.1893
