year,sst
2002,30.029735618768328
2003,30.14063981097561
2004,30.337256614420063
2005,30.905932275229357
2006,30.15475893315508
2007,30.526152175324675
2008,29.840295414201183
2009,30.22649956
2010,30.68546428169014
2011,30.36087699442897
2012,29.8583967
2013,30.71196036414566
2014,30.179200253918495
2015,30.62151083279743
2016,31.447079376068373
2017,30.339749555555553
2018,30.222337752941176
2019,30.53913252601156
2020,30.552224847887324
2021,30.801281208450703
2022,30.556084030985915
2023,30.689458631578947
2024,31.003190560301505
2025,31.12942638536585
