year,sst,y_fit,year_date
2002,29.752242096345515,29.048895626331788,2002-01-01
2003,27.91120296680498,29.072930147391187,2003-01-01
2004,28.57062464642857,29.096964668450592,2004-01-01
2005,29.81207124610592,29.12099918950999,2005-01-01
2006,29.54309395454545,29.145033710569397,2006-01-01
2007,28.647590409240927,29.169068231628795,2007-01-01
2008,28.55082004024768,29.1931027526882,2008-01-01
2009,28.954205558823528,29.2171372737476,2009-01-01
2010,29.88562727272727,29.241171794807,2010-01-01
2011,29.15136946917808,29.265206315866404,2011-01-01
2012,29.75881552631579,29.289240836925803,2012-01-01
2013,29.31780830677291,29.31327535798521,2013-01-01
2014,29.713344480836238,29.337309879044607,2014-01-01
2015,29.601943961805553,29.361344400104013,2015-01-01
2016,30.205313028213165,29.38537892116341,2016-01-01
2017,29.662442964401293,29.40941344222281,2017-01-01
2018,29.688255279069768,29.433447963282216,2018-01-01
2019,28.345753220289854,29.457482484341615,2019-01-01
2020,29.73764935962145,29.48151700540102,2020-01-01
2021,29.146461858490564,29.50555152646042,2021-01-01
2022,29.032761528571427,29.529586047519825,2022-01-01
2023,29.38575116993464,29.553620568579223,2023-01-01
2024,29.830184888888887,29.57765508963863,2024-01-01
